Amps	Volts
4.544289311	4.29541466
4.544136721	4.31418326
4.544060426	4.33440146
4.381399252	4.3509575
3.731441215	4.35080491
3.258258946	4.35034714
2.867780575	4.35019455
2.528725109	4.34996567
2.524452583	4.34996567
2.524528878	4.35011826
2.524528878	4.35782406
2.524528878	4.36858167
2.524376288	4.37933928
2.524528878	4.39078355
2.524452583	4.40184634
2.524528878	4.41275654
2.524528878	4.42389563
2.524376288	4.43427176
2.524605173	4.44525826
2.524528878	4.45540551
2.524376288	4.46570535
2.524681468	4.47570001
2.524528878	4.48561837
2.524528878	4.49568933
2.336995499	4.50011444
2.107423514	4.50003815
1.942931258	4.50003815
1.793392844	4.50003815
1.66521706	4.49988556
1.5506981	4.50003815
1.438620584	4.50011444
1.347753109	4.50003815
1.25444419	4.50003815
1.17738613	4.50003815
1.102693217	4.50003815
1.03150988	4.50003815
0.973525597	4.50003815
0.911802853	4.50011444
0.859311818	4.50003815
0.808728161	4.50011444
0.760509651	4.50003815
0.720454719	4.50003815
0.675288014	4.50003815
0.639124132	4.50003815
0.601358053	4.50003815
0.567559319	4.50003815
0.537193866	4.50003815
0.504005493	4.50003815
0.4773785	4.50003815
0.448004883	4.50003815
0.423361563	4.49996185
0.40062562	4.49980926
0.375219348	4.49996185
0.35523003	4.49996185
0.333562219	4.50003815
0.313496605	4.50003815
0.295719844	4.49996185
0.277103838	4.50003815
0.262226291	4.49980926
0.252307927	4.50003815
0	4.49637598
0	4.48996719
0	4.48805982
0	4.4867628
0	4.48577096
0	4.48477913
0	4.48401617
0	4.48325322
0	4.48279545
0	4.4821088
0	4.48165103
0	4.48165103
0	4.46936751
0	4.46890974
0	4.46852827
0	4.46868086
0	4.46852827
0	4.46860456
0	4.46852827
0	4.46852827
0	4.46868086
0	4.46860456
0	4.46860456
0	4.46883345
0	4.46875715
0	4.46860456
0	4.46875715
0	4.46868086
0	4.46868086
0	4.46868086
0	4.46860456
0	4.46860456
0	4.46852827
0	4.46868086
0	4.46860456
0	4.46868086
0	4.46845197
0	4.46868086
0	4.46868086
0	4.46868086
0	4.46883345
0	4.46860456
0	4.46868086
0	4.46868086
0	4.46868086
0	4.46860456
0	4.46875715
0	4.46868086
0	4.46860456
0	4.46875715
0	4.46868086
0	4.46875715
0	4.46868086
0	4.46860456
